地區,經驗要求(年),最低學歷,科系要求,員工人數,起薪,應徵數
高雄,0,2,1,16,27000,11
台北,1,3,1,15,35000,30
台北,1,2,0,110,28000,6
台北,0,2,0,0,30000,11
台北,3,2,1,40,30000,11
高雄,0,1,0,15,26000,30
台北,0,2,1,80,33000,6
高雄,0,0,0,30,26000,30
台北,0,2,0,0,32000,11
台北,0,0,0,40,28000,30
台北,1,2,0,110,32000,11
高雄,1,1,0,0,26000,6
高雄,3,3,1,700,25000,30
高雄,3,1,0,70,28000,30
台北,2,3,1,0,50000,0
高雄,3,2,1,50,32000,11
高雄,1,2,0,200,28000,30
高雄,1,1,0,0,28000,30
高雄,2,2,0,1000,40000,30
台北,0,0,0,450,35000,11
台北,2,1,0,31,28000,11
高雄,0,1,0,3,30000,11
台北,1,3,0,185,30000,30
高雄,1,1,0,550,28000,11
台北,0,3,1,400,30000,30
台北,0,0,0,0,40000,11
高雄,2,3,0,200,27000,30
台北,0,3,0,200,30000,30
台北,3,2,0,300,32000,6
高雄,0,1,0,0,24000,11
台北,0,0,0,10,24000,11
台北,0,4,1,200,45000,6
高雄,1,2,0,600,26000,11
台北,1,3,0,10,35000,30
高雄,1,3,0,0,35000,11
台北,3,3,1,0,40000,6
高雄,1,2,0,140,30000,6
台北,3,2,0,12,35000,11
台北,0,3,0,0,30000,30
台北,0,1,0,110,30000,0
台北,1,3,1,200,27000,11
台北,0,2,0,80,28000,11
台北,0,2,0,110,35000,30
高雄,0,1,0,0,24000,11
台北,0,2,0,0,30000,6
高雄,0,0,0,90,25000,11
高雄,0,1,0,480,37000,30
台北,1,2,0,16,28000,6
台北,0,2,0,300,31000,30
高雄,0,1,0,13,30000,11
台北,2,3,0,100,35000,30
高雄,0,1,0,0,24000,11
台北,2,3,0,150,35000,6
台北,0,0,0,0,28000,11
高雄,5,4,1,196,50000,11
高雄,2,1,0,120,26000,30
台北,0,0,0,15,28000,30
高雄,2,2,0,100,25000,30
台北,0,3,0,0,26000,11
高雄,0,2,0,0,24000,30
台北,1,0,0,112,35000,11
高雄,1,3,0,1500,32000,30
台北,0,2,0,130,33000,11
高雄,0,2,0,60,24000,30
台北,0,0,0,15,60000,30
台北,0,3,1,10,100000,6
台北,0,1,0,58,30000,11
台北,2,2,0,130,33000,11
台北,2,2,0,1700,35000,0
台北,1,1,0,0,30000,30
台北,0,3,0,0,50000,11
高雄,0,2,0,0,27000,30
台北,0,3,0,7,33000,0
高雄,0,2,1,0,24000,11
高雄,1,2,0,100,28000,30
高雄,2,2,0,0,25000,11
台北,0,2,0,20,33000,11
台北,0,0,0,7,28000,30
高雄,1,1,0,10,25000,11
高雄,0,1,0,600,30000,30
台北,2,2,0,30,40000,0
高雄,0,1,0,700,25000,30
台北,5,2,0,100,35000,11
台北,2,3,0,0,35000,11
高雄,0,1,0,0,26000,30
台北,0,2,0,100,33000,6
台北,0,2,0,0,28000,11
台北,0,2,0,0,40000,11
台北,0,2,1,500,28000,11
高雄,0,2,0,0,35000,30
台北,3,3,0,14,32000,6
台北,1,1,0,34,36000,11
台北,2,2,0,7,24000,11
